_id,characteristics.VIN,characteristics.Владельцев,characteristics.Год выпуска,characteristics.Двигатель,characteristics.КПП,characteristics.Кузов,characteristics.Мощность,characteristics.Привод,characteristics.Пробег,characteristics.Растаможен,characteristics.Руль,characteristics.Состояние,characteristics.Цвет,description,jpg,name,url
608a75802dcd49421a33bf31,,5,2011,Бензин / 3 л,Автомат,Кроссовер 5 дверей,269 л. с.,Полный,136 000 км,Да,Левый,,черный,"Садишься в автомобиль и понимаешь - вот оно кресло Бога! Комфорт и удобство - это основные принципы создания этого автомобиля. Идеальная подвеска, кадик не едет, а плывет. 
Автомобиль в идеальном состоянии, регулярно обслуживался, использовался аккуратно и с любовью. 
Помощи в продаже не требуется, стоянки и проч. прошу меня не беспокоить.","[""https://static.am/automobile_m3/document/s/9/05/905160f859afa9cf8d0b067e551a56cc.jpg""]","Cadillac SRX 2 поколение, кроссовер 5 дв.",https://auto.youla.ru/advert/used/cadillac/srx/prv--5263c5c0aea9d9b4/
608a75932dcd49421a33bf32,LGXC16***********,5,2008,Бензин / 1.6 л,Механика,Седан 4 двери,100 л. с.,Передний,120 000 км,Да,Левый,,серый,"ПРОДАМ АВТОМОБИЛЬ BYD F3 2008 Г.В. В СРЕДНЕМ СОСТОЯНИИ. КУЗОВ ТРЕБУЕТ ВНИМАНИЯ. СЛОМАН БАМПЕР, ЕСТЬ НОВЫЙ. НИ ГРАММА ШПАКЛИ. ДВИГАТЕЛЬ КУШАЕТ МАСЛО. ДЛЯ РЕМОНТА ЕСТЬ НОВЫЕ ПОРШНИ С КОЛЬЦАМИ И ПРОКЛАДКА ГБЦ (НЕТ ВОЗМОЖНОСТИ ЗАНИМАТЬСЯ). КОРОБКА РАБОТАЕТ ОТЛИЧНО. МАКСИМАЛЬНАЯ КОМПЛЕКТАЦИЯ ДАННОЙ МОДЕЛИ. ПЕЧКА ГРЕЕТ - ХОТЬ ПАРЬСЯ В МАШИНЕ! ЗИМОЙ ЗА 5 - 7 МИНУТ В САЛОНЕ 30°С. ПРОСТОРНЫЙ САЛОН.","[""https://static.am/automobile_m3/document/s/2/1c/21cb13639f20f8d45e5ab1fb9218eaa8.jpg"",""https://static.am/automobile_m3/document/s/5/e6/5e69e056b85089c30227cc73344ad085.jpg"",""https://static.am/automobile_m3/document/s/7/62/7621e05be4dff2a1a4c73af02e94f18c.jpg"",""https://static.am/automobile_m3/document/s/3/e4/3e400e30061eb70e2ccfe1075ebd3f23.jpg"",""https://static.am/automobile_m3/document/s/6/49/649542c0ba6645f2bf852828a22e074f.jpg"",""https://static.am/automobile_m3/document/s/d/1c/d1cdca15d104f49771d673dbe26d99ee.jpg"",""https://static.am/automobile_m3/document/s/0/a7/0a7237f55d9701db564c4a59c216f022.jpg""]","BYD F3 1 поколение, седан 4 дв.",https://auto.youla.ru/advert/used/byd/f3/prv--27e1c76c293e039a/
608a75982dcd49421a33bf33,,1,1995,Бензин / 2 л,Механика,Седан 4 двери,150 л. с.,Задний,320 000 км,Да,Левый,Битый,зеленый,null,"[""https://static.am/automobile_m3/document/s/2/67/2677e454d25d400a463fdacf8d5ca80d.jpg"",""https://static.am/automobile_m3/document/s/5/cf/5cf3ef335ed59f88553463fd02081ea6.jpg"",""https://static.am/automobile_m3/document/s/6/72/6726665e69e3ba6fb10820dc38c089e9.jpg"",""https://static.am/automobile_m3/document/s/b/37/b37dc64bb5cc673b0d81acd3e00c9372.jpg"",""https://static.am/automobile_m3/document/s/f/a2/fa21d539ea692a17d329c018d1036353.jpg"",""https://static.am/automobile_m3/document/s/f/73/f73ec5cfe9e3f15bfc1249ba66930c8d.jpg"",""https://static.am/automobile_m3/document/s/d/30/d30481d2f02016d4fbebd9e660335b37.jpg""]","BMW 3 серия 320 E36, седан 4 дв.",https://auto.youla.ru/advert/used/bmw/3_series/prv--303c01503b6bb9d3/
608a759b2dcd49421a33bf34,5UXFA1***********,3,2005,Бензин / 3 л,Автомат,Кроссовер 5 дверей,231 л. с.,Полный,230 000 км,Да,Левый,,серый,null,"[""https://static.am/automobile_m3/document/s/a/8e/a8eb64685a6e91c3489f7313ff8f3ff9.jpg"",""https://static.am/automobile_m3/document/s/e/5d/e5d1a529a6b1230736905a4525eed562.jpg"",""https://static.am/automobile_m3/document/s/e/08/e084f903e1826fc8b78afef4256f9955.jpg"",""https://static.am/automobile_m3/document/s/4/bb/4bb62ea7bd7811d1d273b266e67572fe.jpg"",""https://static.am/automobile_m3/document/s/e/c6/ec6bb0a00f32a2e43c8fecf87cbd5fce.jpg"",""https://static.am/automobile_m3/document/s/f/2a/f2aa4da1a5ff1e780cd981943e6d63de.jpg""]","BMW X5 30 E53 [рестайлинг], кроссовер 5 дв.",https://auto.youla.ru/advert/used/bmw/x5/prv--7acb58b853575c91/
608a759d2dcd49421a33bf35,XTT316***********,1,2011,Бензин / 2.7 л,Механика,Внедорожник 5 дверей,128 л. с.,Полный подключаемый,180 000 км,Да,Левый,,черный,"Читайте текст внимательно!!! На площадки не поставлю!!! Торги по телефону не устраиваю!!! Ездить к вам на осмотр не собираюсь!!
Я первый и единственный владелец. Машина снята с учета, в связи с узаканиванием ГБО, больших колес и расширителей арок! У будущего владельца проблем с ГАИ из-за ГБО и прочего проблем не будет. Максимальная комплектация, кондиционер, вторая печка, эл.привод и обогрев зеркал, велюровый салон, передние эл.стеклоподъмники. Сигнализация с автозапуском. Шумоизоляция салона. Хорошая музыка. Подготовлен ночевки в машине. Чистый не прокуренный салон. Встроенный компрессор. Два комплекта колес (лето МТ 2657516. зима Максис шип 2757016). Естественно есть проблемы по кузову, особенно с порогами. Также было дтп, все покажу расскажу. 
Обмен интересен только на деньги!!!
Любители скидывать цену в сообщениях, не тратьте свое и мое время!","[""https://static.am/automobile_m3/document/s/5/83/58319cf5dedfccbf03fdd418034d1ddb.jpg"",""https://static.am/automobile_m3/document/s/b/69/b69171562d06f78ebb8f9bbff4111b79.jpg"",""https://static.am/automobile_m3/document/s/c/7a/c7ae0956ed00ed5c7865d621dcef0c87.jpg"",""https://static.am/automobile_m3/document/s/b/6a/b6a80fbd069a860cbd71983f098bd8c9.jpg"",""https://static.am/automobile_m3/document/s/3/04/3049f1467f69d7d3345ae9e53aae67fe.jpg"",""https://static.am/automobile_m3/document/s/1/61/16188e4653baec0c549c5dac79fde916.jpg"",""https://static.am/automobile_m3/document/s/9/0d/90d1abdb53f58d54659e1f52a344807c.jpg""]","УАЗ Patriot 1 поколение, внедорожник 5 дв.",https://auto.youla.ru/advert/used/uaz/patriot/prv--51d5117f82cd763/
608a759f2dcd49421a33bf36,,2,1985,Бензин / 2.4 л,Механика,Внедорожник 4 двери,75 л. с.,Полный подключаемый,100 000 км,Да,Левый,,зеленый,"Продается уаз в хорошем состоянии
Переварен
Полностью окрашен
Двигател на 5
Ходовка на 4
Мосты колхозники","[""https://static.am/automobile_m3/document/s/e/4f/e4f70bdb2021cdbb185664c30dafed13.jpg"",""https://static.am/automobile_m3/document/s/c/f5/cf53b7c79dd97731587b76ea05aa4c59.jpg"",""https://static.am/automobile_m3/document/s/2/eb/2ebd140c2c6a02660672deb4d1108446.jpg"",""https://static.am/automobile_m3/document/s/1/2c/12cc30df2134057a844dbb4c7f18f40f.jpg"",""https://static.am/automobile_m3/document/s/a/c7/ac718385807de5a8723fe93a8593da1e.jpg"",""https://static.am/automobile_m3/document/s/9/81/981434de62a46fe57862720599261559.jpg"",""https://static.am/automobile_m3/document/s/d/15/d1586dc05be8f9322dc2d062e8dba262.jpg""]","УАЗ 469 1 поколение, внедорожник 4 дв.",https://auto.youla.ru/advert/used/uaz/469/prv--64171ae2a58ea2c9/
608a75a22dcd49421a33bf37,X7MT3B***********,3,2010,Дизель / 2.6 л,Механика,Внедорожник 3 двери,104 л. с.,Полный,140 000 км,Да,Левый,,черный,"Возможен обмен,лада ларгус,шевролет нива.","[""https://static.am/automobile_m3/document/s/d/85/d8508181b1718bb05519787e6f1a68f5.jpg"",""https://static.am/automobile_m3/document/s/a/8a/a8a91836756eafbb36ee58542ff3dee1.jpg"",""https://static.am/automobile_m3/document/s/0/cc/0cc43fc282339ecfe114dc2e5762d473.jpg"",""https://static.am/automobile_m3/document/s/5/25/525057e45b960a4084bf5f4b66cc5a4d.jpg"",""https://static.am/automobile_m3/document/s/a/5a/a5a8f11f3a99b800fff918cb9831d1b8.jpg"",""https://static.am/automobile_m3/document/s/c/af/caf2e955de093647788c1501df4a0472.jpg"",""https://static.am/automobile_m3/document/s/7/c5/7c508c364bde142b947fad14ca200f72.jpg""]","ТагАЗ Tager 1 поколение, внедорожник 3 дв.",https://auto.youla.ru/advert/used/tagaz/tager/prv--5c0ca34a3356332/
608a75a42dcd49421a33bf38,X96321***********,2,2005,Бензин / 4 л,Автомат,Пикап 2 двери,245 л. с.,Задний,200 000 км,Да,Левый,,белый,"Продам эвакуатор на базе газель.2005г.в.
состояние среднее
Двс 1uz-fe.АКПП.
водительское сидение от бмв
Торпеда установлена от более свежей модели газель.
Требует вложении.все остальное при расскажу при осмотре или по телефону","[""https://static.am/automobile_m3/document/s/6/aa/6aa2c79c9dbdbf6c8ba38a77ed8406a8.jpg"",""https://static.am/automobile_m3/document/s/6/3e/63eb70a45295600b0f537f51f6b5af39.jpg"",""https://static.am/automobile_m3/document/s/6/b4/6b4c17166a1452ed41927ebeffa20d5d.jpg"",""https://static.am/automobile_m3/document/s/4/05/405178fd0a8e4d62fd425f65fbcbb532.jpg"",""https://static.am/automobile_m3/document/s/9/ee/9ee97e89ed7a843d153f30b983b2cdb0.jpg"",""https://static.am/automobile_m3/document/s/e/f1/ef1422e16630f3da84cc5b7ed2e4fe44.jpg"",""https://static.am/automobile_m3/document/s/7/2d/72d17841b247407ffa91e74238e84afa.jpg""]","Прочие авто Прочие русские машины, пикап 2 дв.",https://auto.youla.ru/advert/used/prochie_avto/prochie_russkie_mashiny/prv--32392d12272823c/
608a75a62dcd49421a33bf39,Z9C6CB***********,1,2012,Бензин / 2.4 л,Механика,Кроссовер 5 дверей,136 л. с.,Полный,102 000 км,Да,Левый,,черный,"Автомобиль 2012 года, был куплен в декабре, в хорошем состоянии, полный пpивoд 4wd. Рaботает всё. климат контроль, люк , вcе cтeклoпoдъемники элeктричеcкиe, cигнaлизация , гуp, элeктричecкий зеркaла c пoдогpeвoм , паpктроник, с зaвода в зepкалe зaднeгo вида. Один хозяин. Пробег родной. Аналог Хендай Сантафе Классик. Машина просто класс, проходимость и вместимость радует, жизненные коцки, есть косяки, все на фото. В ДТП не участвовала. Стоит в гараже уже больше года, продаем из за того что жалко машину стоит без дела. В комплекте летняя резина, сигнализация с автозапуском. ТОРГ. Все вопросы по телефону","[""https://static.am/automobile_m3/document/s/2/7e/27e777b5b4a65c74466366b3c704fdd8.jpg"",""https://static.am/automobile_m3/document/s/e/bb/ebbb5323fca6b340bb00e29a906fa226.jpg"",""https://static.am/automobile_m3/document/s/c/57/c5764ab67e7cada798b1388b91a047c7.jpg"",""https://static.am/automobile_m3/document/s/d/1f/d1f776fce5a69d5de0dff5693716644c.jpg"",""https://static.am/automobile_m3/document/s/2/30/23014eb5b19e00913c4988a515537db5.jpg"",""https://static.am/automobile_m3/document/s/c/42/c4292f5aafd352288810d4b6ac0f3ac6.jpg"",""https://static.am/automobile_m3/document/s/b/26/b262d79118da5c7453037d32eda31dc3.jpg""]","ТагАЗ C190 1 поколение, кроссовер 5 дв.",https://auto.youla.ru/advert/used/tagaz/c190/prv--24e0ea8205dd8ce0/
608a75a92dcd49421a33bf3a,,1,1974,Бензин / 1.5 л,Механика,Седан 4 двери,75 л. с.,Задний,100 000 км,Да,Левый,,зеленый,null,"[""https://static.am/automobile_m3/document/s/6/d7/6d7efed82bd9ba03ab79ced094fa474c.jpg"",""https://static.am/automobile_m3/document/s/7/7b/77b37f88980098217d196462ebdc97a0.jpg"",""https://static.am/automobile_m3/document/s/d/4d/d4d035d486477ff5a4afecd144e8aae2.jpg"",""https://static.am/automobile_m3/document/s/8/ef/8ef62e656259d21b5b8cf7273bbe1fe5.jpg"",""https://static.am/automobile_m3/document/s/b/75/b7571b17419c964f509f5f0b23cc4a59.jpg""]","Москвич 412 1 поколение [рестайлинг], седан 4 дв.",https://auto.youla.ru/advert/used/moskvich/412/prv--7d5ef60098433249/
